Years,Afghanistan,Algeria,Angola,Argentina,Armenia,Azerbaijan,Bangladesh,Belize,Benin,Bhutan,Bolivia,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Central African Republic,Chad,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Georgia,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Jamaica,Kenya,Kyrgyz Republic,Lao,Liberia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,North Korea,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Russia,Rwanda,Sao Tome and Principe,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,South Korea,Sri Lanka,Sudan,Suriname,Swaziland,Syria,Tajikistan,Tanzania,Thailand,Togo,Turkey,Turkmenistan,Uganda,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1990,2510,0.601,2310,5.09,0,0.333,47.7,1630,1790,1740,295,786,375,5600,1630,1280,7100,19.4,5800,3480,10.2,285,,,1340,37.4,4010,577,4.88,698,0.136,181,7520,,,6260,23100,0.0183,9240,468,361,8050,3100,67.6,1090,235,94,137,21.2,,,0.0228,541,,,41000,279,3250,1380,5.11,53,3.37,,2460,,120,864,14900,1180,,1780,70.5,15.8,2540,68.6,133,141,0.145,17600,,96.4,,,37200,,18.6,0,1680,29000,400,,0.841,3.3,42000,505,20500,15.1,0.0273,,0.137,19300,238,187,92.5,23800,6320
1991,2200,0.884,10500,2.43,0,1.54,55,1740,2210,4060,279,1020,404,4920,9770,1030,6250,22,4050,3910,8.74,518,,,1300,104,3530,1270,5.07,565,0.0427,114,6510,,,8490,21600,0.0369,8570,634,282,6120,5780,352,1460,241,71.3,166,9.25,,,0.0225,977,,,,211,3590,2110,4.49,31.1,1.96,,2300,,149,652,10000,935,,1010,57.3,45.3,2040,68.5,152,138,0.113,18900,,59.5,,,43800,,12.5,0,2310,26100,368,,0.412,5.43,33100,361,19200,20.9,0.451,,0.0571,12700,215,278,98.5,28000,5390
1992,,0.4,6980,1.92,0,0.362,97.8,2720,5220,5400,351,345,395,4470,13000,876,5130,10.2,2830,3530,6.29,508,,,824,215,4050,1260,9.21,383,0.0279,85.6,7070,,377,10300,18100,0.0188,8780,617,,5180,5420,182,1370,237,54.7,130,29.3,,,0.0447,890,,,,193,3480,2230,6.1,18.6,1.57,,1910,,116,618,10400,1220,,750,83.2,28.9,1990,28.9,243,149,0.107,20800,,115,,,46200,,7.46,0,2280,34200,344,,3.38,7.32,28200,303,15200,31.4,0.283,12800,0.116,8410,104,327,216,34500,3800
1993,,0.309,6240,2.23,0,0.304,104,4250,6970,5380,384,3720,297,5180,13700,924,3590,11.5,2510,3500,4.96,351,2100,,588,152,2980,693,12.8,427,0.0291,71.9,4910,,540,7080,,0,10000,438,,14200,4510,11.3,839,241,71.2,107,246,,,0,939,,,47500,204,3570,2080,4.93,17.8,0.758,,1670,24300,79.5,989,8400,953,,825,76,18.8,1500,9.52,413,99,0.14,12000,,105,,,36900,47.8,33.6,0.00226,1850,35300,,,6.97,11,31200,205,13200,78,0.0751,7400,0.164,6410,59.3,221,220,39900,7750
1994,512,0.743,5580,2.76,5.95,8.68,135,4780,9110,7790,475,1940,355,4740,13500,768,1380,5.36,2440,4020,5.17,339,2350,,1320,131,,1010,21.2,268,0.885,50.8,3980,,613,7990,26800,0.0195,9600,226,8580,,5370,301,958,269,75,83.4,469,,23000,0.132,1150,,,47600,294,3090,7210,5.85,14.3,0.776,,1650,24900,44.7,910,9000,1110,,342,87,26.1,1420,12.4,520,92.3,0.224,6470,,56.2,5110,,37500,,25.4,0.0449,1530,29800,1140,,4.09,42.4,27500,180,7500,137,0.22,10700,0.0934,2250,63.5,195,250,38900,2800
1995,,0.379,1270,3.06,15.6,36.5,121,4400,9330,4570,627,1120,350,4880,14900,675,5580,31.7,2930,4110,3.86,489,2590,,1000,130,5040,958,22.6,159,0.531,59.7,3280,2530,684,5190,11700,0.0199,10800,242,8200,16600,8030,,1070,313,62.4,109,456,,15900,0.0653,1110,,1410,,288,1090,9640,4.09,7.98,0.731,,1520,16600,44.8,1490,8380,1040,,82.9,87.5,27.3,2100,18.7,807,82.9,0.285,24700,40600,103,6950,,32800,,21.1,0.238,787,21500,1590,,4.29,106,8150,144,,131,0.238,6740,0.118,4830,74.2,137,3220,29600,6460
1996,1600,0.768,,5.81,10.9,167,78.2,3000,9730,3080,837,4990,277,5510,15400,640,6460,18.8,2690,3760,2.71,349,2480,426,487,154,7190,951,17.3,103,0.0405,103,,3980,770,6860,22100,0.141,11900,198,10300,527,,237,1310,312,89.8,89.3,223,,13400,0.559,1620,10500,,59900,246,332,7920,7.21,6.73,0.373,77.9,1520,20300,29.8,1590,12100,1030,,56.8,74.8,17.5,1470,13,859,57.9,0.41,19500,36100,112,,172,22800,,63.8,0.872,1010,15200,3970,3970,2.3,283,16200,151,7540,95.4,0.328,,0.219,3210,83.7,114,2590,33900,14100
1997,1040,0.674,6900,1.66,26.8,125,52.1,1770,10200,1750,659,6220,236,6190,10500,734,5330,4.76,2750,4500,2.15,456,,,321,129,6200,650,9.82,139,0.0175,46.4,,,797,5180,26100,0.0205,11900,307,10400,843,4350,,1130,268,79.4,60.5,60.7,,,0.275,1470,33400,,26000,123,4180,8050,5.65,5.05,0.451,,1280,22300,39.3,882,9810,997,,45,57.6,18.2,767,11.3,747,58.7,0.559,20900,36000,108,9020,4960,17800,,53.5,3.77,1190,13100,2670,2380,0.847,502,3590,166,7570,54.6,0.323,10300,0.22,3400,97.3,87,8380,,15200
1998,1450,,8820,0.939,37.1,64.5,44.8,1130,9550,1460,926,3570,279,6450,10700,480,4390,9.53,2850,5010,2.16,460,581,292,564,137,,862,23.7,365,0.0203,19.8,,7420,920,7080,,0.331,9070,445,10400,163,5600,416,723,220,77.8,50.9,40.8,,272,0.229,777,28800,,27300,60.7,129,6940,4.47,25.8,0.43,1120,1220,19600,36.4,686,8430,1790,4.82,46.9,53.3,36.6,409,40.8,989,69.4,0.729,18200,34000,207,9680,5830,18500,,60.1,8.65,1140,15900,2900,432,0.382,322,94600,220,7320,55.8,3.12,12200,0.308,3390,93.1,93.8,,34000,13900
1999,,2.33,10800,0.608,19.9,28.6,46.6,776,10100,2250,614,4270,355,7530,29600,516,,6.59,3380,4810,2.12,163,1440,3050,,104,,866,41.7,722,0.0934,20.2,,4140,959,,9560,1.07,14700,411,10000,14800,3710,14.2,770,222,,35.3,17,,403,0.102,547,,7260,37200,48.8,5450,10200,6.22,13.7,0.211,13200,267,23300,40.6,769,7600,1620,35.1,38,65,32.4,354,190,658,49.7,0.535,11800,26900,65,11400,9350,15600,132,115,7.79,,12900,3220,2930,0.267,221,1280,209,7900,31.2,1.1,12800,0.349,2770,79.7,96.3,15800,33100,14400
2000,,1.77,11700,1.19,4.58,18.7,43.3,607,9790,1060,378,4130,351,8690,45900,489,,,2320,4360,1.46,258,,1900,,47.8,8750,640,13.9,801,0.0255,12,,3230,553,,,5.19,16600,475,,18000,3270,197,567,194,47.8,29.8,7.42,,237,0.243,766,,,32500,54.6,5460,10100,5.23,7.38,0.205,18000,,27600,31.2,470,5810,1990,321,28.9,57.2,35.1,1510,128,272,48,0.539,,31000,31.8,10800,,16300,147,142,8.85,1120,13000,3010,4310,0.254,309,,135,7370,16.8,0.533,,0.51,3570,122,94,7670,34500,12100
2001,1700,1.41,8730,0.577,2.58,12.9,254,437,9620,1780,1450,2750,220,2880,49200,846,,3.25,3140,4720,2.09,487,518,4230,,34,6860,577,11.7,874,0.0162,5.75,,3280,3180,8040,,9.41,14800,311,10200,17500,3690,113,382,196,653,28.9,4.92,,10200,0.559,1960,,8140,32000,53.8,5950,9230,5.09,4.85,0.202,21200,1240,28200,586,202,11600,1760,1280,26.2,85.1,30.9,29800,49.6,306,44.7,0.612,11700,30900,14.4,8780,9520,17900,143,57.6,5.43,354,12400,3880,1750,0.466,182,935,104,8950,15.6,0.11,35300,0.307,9750,119,234,575,36000,5330
2002,2820,0.977,12600,0.332,1.71,6.15,212,361,10200,1220,1590,1630,194,9390,37600,756,,0.423,,5070,13.3,455,,,,24.9,6270,658,14.3,687,0.0145,1.83,,1870,3440,,,10.2,14900,301,9990,13900,2970,,267,170,687,23.1,3.62,,10100,54.3,1580,,9330,22700,45.4,6820,8260,,4.54,0.363,24000,1540,23000,523,146,7440,1980,1040,24.1,71.8,71.9,28100,49.9,326,46.5,0.439,12200,35100,11.9,8820,10300,17100,1290,33.6,3.81,219,10100,2950,1360,0.155,97.5,1040,72.2,10200,14.6,0.173,37300,0.291,17200,116,227,970,34600,10500
2003,2530,,21400,0.321,0.955,5.83,333,,10300,666,1790,13200,225,11000,31000,888,,1.24,1920,4900,13,377,,7950,,17.2,6320,648,14.1,408,0.064,1.29,,1570,4190,,,6.9,16500,257,8440,13000,3750,109,215,170,672,34.6,1.29,,15100,9.17,1620,,12500,26700,25.6,7410,11400,,3.73,0.245,24800,1520,23800,756,126,5510,1940,259,30.1,82,144,28500,24.5,298,59.7,,13500,32400,7.67,12700,10200,20200,302,28.6,2.47,55.4,10500,3280,1040,0.134,84.9,31100,60.1,8300,13,0.149,40500,0.286,21000,123,199,878,39300,14100
2004,1090,,15900,0.3,1.55,4.65,143,392,10400,486,1810,1230,252,11500,23100,670,,0.808,3140,4030,11.1,264,5650,,,30.3,6980,271,25.3,222,0.0601,1.7,,638,7410,,,5.67,15500,234,9930,10500,3910,118,258,172,670,20.1,0.565,,21800,1.8,965,,8040,22300,24.4,17500,7800,,3.3,0.186,28000,1270,30600,530,128,5940,2400,144,24.8,81.6,161,31500,12,347,61.4,,14200,35900,5.35,10400,6600,19600,462,28.2,1.81,19.5,7190,1820,851,0.0707,27.9,31700,42.7,8520,7.34,0.063,42800,0.252,18900,178,153,774,36200,13900
2005,981,,14500,0.668,0.232,2.9,124,572,9460,306,2200,612,323,11600,30100,480,1560,1.38,3150,3930,7.58,263,3700,,,81.8,6890,322,40.5,131,0.0316,0.99,,534,4260,7770,10000,3.46,15300,311,9450,11600,5270,234,234,160,793,27.3,0.168,,25800,4.34,536,3390,6590,27900,21.7,8290,7540,,2.85,0.328,28700,1060,16800,657,122,6170,2500,48.7,21.7,80.9,114,29500,6.37,,55,,17700,14700,4.49,11400,4190,16200,348,16.2,2.86,8.58,7730,1930,790,0.148,21.3,29700,47.3,7020,2.81,0.0207,55300,0.384,15000,169,117,951,35900,11400
2006,1040,,13800,0.534,0,1.7,232,294,9840,307,2230,1020,290,14400,26500,628,3490,1.35,2680,3820,8.75,264,6700,8260,4280,66,6630,942,36.7,74.7,0.0391,0.651,,216,4640,9010,16000,1.35,15300,239,9090,9040,2840,347,166,155,580,22.6,0.0842,14.2,21800,6.08,355,30900,5290,31000,20.3,8540,6180,,,0.269,30200,982,13000,560,56.3,6450,2750,39.5,17.4,77.6,50.6,27000,13.7,,40.7,,15000,4700,5.29,12900,2800,15600,583,25.1,4.27,3.08,5930,798,331,0.175,11.7,26800,47.8,8840,1.04,0,42800,0.282,9600,136,106,931,40500,11600